Unit,ID,Entry,Row,Range,ReplicationTOS,TRT,RepRow,Variety,Type,TOS,Plotname,subset
81,V33,33,1,9,2,33,1,CSIROW027,TL,2,V33 (CSIROW027),
82,V39,39,2,9,2,39,1,CSIROW105,TL,2,V39 (CSIROW105),
83,V3,3,3,9,1,3,1,Lancer,Control,2,V3 (Lancer),
84,V74,74,4,9,1,74,1,Peake,TL,2,V74 (Peake),
85,V65,65,5,9,1,65,1,Lockyer,TL,2,V65 (Lockyer),
86,V46,46,6,9,2,46,2,EGA_Wedgetail,TL,2,V46 (EGA_Wedgetail),
87,V35,35,7,9,2,35,2,CSIROW073,TL,2,V35 (CSIROW073),
88,V25,25,8,9,1,25,2,CSIROW002,TL,2,V25 (CSIROW002),
89,V13,13,9,9,1,13,2,Biere,TL,2,V13 (Biere),
90,V94,94,10,9,1,94,2,Wyalkatchem,TL,2,V94 (Wyalkatchem),
91,V16,16,1,10,1,16,1,Calingiri,TL,2,V16 (Calingiri),
92,V59,59,2,10,1,59,1,Grout,TL,2,V59 (Grout),
93,V7,7,3,10,1,7,1,AGT_Scythe,TL,2,V7 (AGT_Scythe),
94,V29,29,4,10,2,29,1,CSIROW011,TL,2,V29 (CSIROW011),
95,V37,37,5,10,2,37,1,CSIROW087,TL,2,V37 (CSIROW087),
96,V48,48,6,10,2,48,2,Ellison,TL,2,V48 (Ellison),
97,V84,84,7,10,1,84,2,Strzelecki,TL,2,V84 (Strzelecki),
98,V89,89,8,10,1,89,2,Suntop,TL,2,V89 (Suntop),
99,V43,43,9,10,2,43,2,EGA_Eaglehawk,TL,2,V43 (EGA_Eaglehawk),
100,V60,60,10,10,1,60,2,H45,TL,2,V60 (H45),
101,V30,30,1,11,2,30,1,CSIROW018,TL,2,V30 (CSIROW018),
102,V15,15,2,11,1,15,1,Braewood,TL,2,V15 (Braewood),
103,V55,55,3,11,1,55,1,Gairdner,TL,2,V55 (Gairdner),
104,V69,69,4,11,1,69,1,Merinda,TL,2,V69 (Merinda),
105,V45,45,5,11,2,45,1,EGA_Hume,TL,2,V45 (EGA_Hume),
106,V24,24,6,11,1,24,2,CSIROB3,TL,2,V24 (CSIROB3),
107,V83,83,7,11,1,83,2,Stirling,TL,2,V83 (Stirling),
108,V6,6,8,11,1,6,2,Scepter,Control,2,V6 (Scepter),
109,V73,73,9,11,1,73,2,Oxford,TL,2,V73 (Oxford),
110,V33,33,10,11,2,33,2,CSIROW027,TL,2,V33 (CSIROW027),
111,V96,96,1,12,1,96,1,Young,TL,2,V96 (Young),
112,V34,34,2,12,2,34,1,CSIROW029,TL,2,V34 (CSIROW029),
113,V41,41,3,12,2,41,1,Dash,TL,2,V41 (Dash),
114,V50,50,4,12,1,50,1,Fathom,TL,2,V50 (Fathom),
115,V78,78,5,12,1,78,1,Schooner,TL,2,V78 (Schooner),
116,V10,10,6,12,1,10,2,Banks,TL,2,V10 (Banks),
117,V39,39,7,12,2,39,2,CSIROW105,TL,2,V39 (CSIROW105),
118,V91,91,8,12,1,91,2,Urambie,TL,2,V91 (Urambie),
119,V95,95,9,12,1,95,2,Yitpi,TL,2,V95 (Yitpi),
120,V32,32,10,12,2,32,2,CSIROW023,TL,2,V32 (CSIROW023),
1,V62,62,11,1,1,62,1,Keel,TL,5,V62 (Keel),
2,V34,34,12,1,1,34,1,CSIROW029,TL,5,V34 (CSIROW029),
3,V49,49,13,1,1,49,1,Emu_Rock,TL,5,V49 (Emu_Rock),
4,V13,13,14,1,2,13,1,Biere,TL,5,V13 (Biere),
5,V14,14,15,1,2,14,1,Bolac,TL,5,V14 (Bolac),
6,V69,69,16,1,1,69,2,Merinda,TL,5,V69 (Merinda),
7,V90,90,17,1,1,90,2,Trojan,TL,5,V90 (Trojan),
8,V15,15,18,1,2,15,2,Braewood,TL,5,V15 (Braewood),
9,V2,2,19,1,2,2,2,Beaufort,Control,5,V2 (Beaufort),
10,V61,61,20,1,1,61,2,Janz,TL,5,V61 (Janz),
11,V1,1,11,2,2,1,1,RGT Planet,Control,5,V1 (RGT Planet),
12,V18,18,12,2,2,18,1,Cassiopee,TL,5,V18 (Cassiopee),
13,V85,85,13,2,1,85,1,Sunbee,TL,5,V85 (Sunbee),
14,V5,5,14,2,1,5,1,Manning,Control,5,V5 (Manning),
15,V38,38,15,2,1,38,1,CSIROW102,TL,5,V38 (CSIROW102),
16,V21,21,16,2,2,21,2,Compass,TL,5,V21 (Compass),
17,V12,12,17,2,2,12,2,Baudin,TL,5,V12 (Baudin),
18,V70,70,18,2,1,70,2,Mitch,TL,5,V70 (Mitch),
19,V33,33,19,2,1,33,2,CSIROW027,TL,5,V33 (CSIROW027),
20,V59,59,20,2,1,59,2,Grout,TL,5,V59 (Grout),
21,V89,89,11,3,1,89,1,Suntop,TL,5,V89 (Suntop),
22,V76,76,12,3,1,76,1,Rosalind,TL,5,V76 (Rosalind),
23,V17,17,13,3,2,17,1,Capstan,TL,5,V17 (Capstan),
24,V72,72,14,3,1,72,1,Ouyen,TL,5,V72 (Ouyen),
25,V93,93,15,3,2,93,1,Whistler,TL,5,V93 (Whistler),
26,V52,52,16,3,1,52,2,Flinders,TL,5,V52 (Flinders),
27,V78,78,17,3,1,78,2,Schooner,TL,5,V78 (Schooner),
28,V84,84,18,3,1,84,2,Strzelecki,TL,5,V84 (Strzelecki),
29,V10,10,19,3,2,10,2,Banks,TL,5,V10 (Banks),
30,V92,92,20,3,2,92,2,Westminster,TL,5,V92 (Westminster),
31,V19,19,11,4,2,19,1,Catalina,TL,5,V19 (Catalina),
32,V40,40,12,4,1,40,1,Cutlass,TL,5,V40 (Cutlass),
33,V35,35,13,4,1,35,1,CSIROW073,TL,5,V35 (CSIROW073),
34,V11,11,14,4,2,11,1,Bass,TL,5,V11 (Bass),
35,V25,25,15,4,1,25,1,CSIROW002,TL,5,V25 (CSIROW002),
36,V86,86,16,4,1,86,2,Sunbri,TL,5,V86 (Sunbri),
37,V20,20,17,4,2,20,2,Commander,TL,5,V20 (Commander),
38,V95,95,18,4,2,95,2,Yitpi,TL,5,V95 (Yitpi),
39,V75,75,19,4,1,75,2,Revenue,TL,5,V75 (Revenue),
40,V80,80,20,4,1,80,2,Scout,TL,5,V80 (Scout),
41,V50,50,11,5,1,50,1,Fathom,TL,5,V50 (Fathom),
42,V96,96,12,5,2,96,1,Young,TL,5,V96 (Young),
43,V91,91,13,5,2,91,1,Urambie,TL,5,V91 (Urambie),
44,V60,60,14,5,1,60,1,H45,TL,5,V60 (H45),
45,V31,31,15,5,1,31,1,CSIROW021,TL,5,V31 (CSIROW021),
46,V66,66,16,5,1,66,2,Longsword,TL,5,V66 (Longsword),
47,V18,18,17,5,2,18,2,Cassiopee,TL,5,V18 (Cassiopee),
48,V6,6,18,5,1,6,2,Scepter,Control,5,V6 (Scepter),
49,V79,79,19,5,1,79,2,Scope,TL,5,V79 (Scope),
50,V7,7,20,5,2,7,2,AGT_Scythe,TL,5,V7 (AGT_Scythe),
