Unit,ID,Entry,Row,Range,ReplicationTOS,TRT,RepRow,Variety,Type,TOS,Plotname,subset
108,V6,6,28,11,1,6,2,Scepter,Control,7,V6 (Scepter),
109,V93,93,29,11,1,93,2,Whistler,TL,7,V93 (Whistler),
110,V52,52,30,11,2,52,2,Flinders,TL,7,V52 (Flinders),
111,V57,57,21,12,2,57,1,Granger,TL,7,V57 (Granger),
112,V15,15,22,12,1,15,1,Braewood,TL,7,V15 (Braewood),
113,V75,75,23,12,1,75,1,Revenue,TL,7,V75 (Revenue),
114,V25,25,24,12,1,25,1,CSIROW002,TL,7,V25 (CSIROW002),
115,V56,56,25,12,2,56,1,Gauntlet,TL,7,V56 (Gauntlet),
116,V42,42,26,12,1,42,2,Derrimut,TL,7,V42 (Derrimut),
117,V36,36,27,12,1,36,2,CSIROW077,TL,7,V36 (CSIROW077),
118,V61,61,28,12,2,61,2,Janz,TL,7,V61 (Janz),
119,V55,55,29,12,2,55,2,Gairdner,TL,7,V55 (Gairdner),
120,V35,35,30,12,1,35,2,CSIROW073,TL,7,V35 (CSIROW073),
1,V42,42,31,1,2,42,1,Derrimut,TL,6,V42 (Derrimut),
2,V79,79,32,1,1,79,1,Scope,TL,6,V79 (Scope),
3,V46,46,33,1,1,46,1,EGA_Wedgetail,TL,6,V46 (EGA_Wedgetail),
4,V60,60,34,1,1,60,1,H45,TL,6,V60 (H45),
5,V36,36,35,1,2,36,1,CSIROW077,TL,6,V36 (CSIROW077),
6,V49,49,36,1,1,49,2,Emu_Rock,TL,6,V49 (Emu_Rock),
7,V22,22,37,1,2,22,2,Crusader,TL,6,V22 (Crusader),
8,V26,26,38,1,2,26,2,CSIROW003,TL,6,V26 (CSIROW003),
9,V75,75,39,1,1,75,2,Revenue,TL,6,V75 (Revenue),
10,V94,94,40,1,1,94,2,Wyalkatchem,TL,6,V94 (Wyalkatchem),
11,V58,58,31,2,1,58,1,Grenade CL Plus,TL,6,V58 (Grenade CL Plus),
12,V20,20,32,2,1,20,1,Commander,TL,6,V20 (Commander),
13,V34,34,33,2,2,34,1,CSIROW029,TL,6,V34 (CSIROW029),
14,V33,33,34,2,2,33,1,CSIROW027,TL,6,V33 (CSIROW027),
15,V44,44,35,2,1,44,1,EGA_Gregory,TL,6,V44 (EGA_Gregory),
16,V25,25,36,2,2,25,2,CSIROW002,TL,6,V25 (CSIROW002),
17,V90,90,37,2,1,90,2,Trojan,TL,6,V90 (Trojan),
18,V35,35,38,2,2,35,2,CSIROW073,TL,6,V35 (CSIROW073),
19,V93,93,39,2,1,93,2,Whistler,TL,6,V93 (Whistler),
20,V63,63,40,2,1,63,2,Kellalac,TL,6,V63 (Kellalac),
21,V7,7,31,3,1,7,1,AGT_Scythe,TL,6,V7 (AGT_Scythe),
22,V37,37,32,3,2,37,1,CSIROW087,TL,6,V37 (CSIROW087),
23,V21,21,33,3,1,21,1,Compass,TL,6,V21 (Compass),
24,V4,4,34,3,1,4,1,Spartacus CL,Control,6,V4 (Spartacus CL),
25,V82,82,35,3,1,82,1,Spitfire,TL,6,V82 (Spitfire),
26,V61,61,36,3,1,61,2,Janz,TL,6,V61 (Janz),
27,V47,47,37,3,1,47,2,EGA_Wills,TL,6,V47 (EGA_Wills),
28,V62,62,38,3,1,62,2,Keel,TL,6,V62 (Keel),
29,V24,24,39,3,2,24,2,CSIROB3,TL,6,V24 (CSIROB3),
30,V29,29,40,3,2,29,2,CSIROW011,TL,6,V29 (CSIROW011),
31,V40,40,31,4,2,40,1,Cutlass,TL,6,V40 (Cutlass),
32,V81,81,32,4,1,81,1,Shepherd,TL,6,V81 (Shepherd),
33,V28,28,33,4,2,28,1,CSIROW007,TL,6,V28 (CSIROW007),
34,V73,73,34,4,1,73,1,Oxford,TL,6,V73 (Oxford),
35,V54,54,35,4,1,54,1,Franklin,TL,6,V54 (Franklin),
36,V42,42,36,4,2,42,2,Derrimut,TL,6,V42 (Derrimut),
37,V50,50,37,4,1,50,2,Fathom,TL,6,V50 (Fathom),
38,V67,67,38,4,1,67,2,Mace,TL,6,V67 (Mace),
39,V66,66,39,4,1,66,2,Longsword,TL,6,V66 (Longsword),
40,V5,5,40,4,1,5,2,Manning,Control,6,V5 (Manning),
41,V48,48,31,5,1,48,1,Ellison,TL,6,V48 (Ellison),
42,V24,24,32,5,2,24,1,CSIROB3,TL,6,V24 (CSIROB3),
43,V68,68,33,5,1,68,1,Magenta,TL,6,V68 (Magenta),
44,V1,1,34,5,2,1,1,RGT Planet,Control,6,V1 (RGT Planet),
45,V6,6,35,5,1,6,1,Scepter,Control,6,V6 (Scepter),
46,V30,30,36,5,2,30,2,CSIROW018,TL,6,V30 (CSIROW018),
47,V36,36,37,5,2,36,2,CSIROW077,TL,6,V36 (CSIROW077),
48,V96,96,38,5,1,96,2,Young,TL,6,V96 (Young),
49,V56,56,39,5,1,56,2,Gauntlet,TL,6,V56 (Gauntlet),
50,V76,76,40,5,1,76,2,Rosalind,TL,6,V76 (Rosalind),
51,V26,26,31,6,2,26,1,CSIROW003,TL,6,V26 (CSIROW003),
52,V91,91,32,6,1,91,1,Urambie,TL,6,V91 (Urambie),
53,V16,16,33,6,1,16,1,Calingiri,TL,6,V16 (Calingiri),
54,V65,65,34,6,1,65,1,Lockyer,TL,6,V65 (Lockyer),
55,V41,41,35,6,2,41,1,Dash,TL,6,V41 (Dash),
56,V45,45,36,6,1,45,2,EGA_Hume,TL,6,V45 (EGA_Hume),
57,V74,74,37,6,1,74,2,Peake,TL,6,V74 (Peake),
58,V38,38,38,6,2,38,2,CSIROW102,TL,6,V38 (CSIROW102),
59,V31,31,39,6,2,31,2,CSIROW021,TL,6,V31 (CSIROW021),
60,V19,19,40,6,1,19,2,Catalina,TL,6,V19 (Catalina),
61,V70,70,31,7,1,70,1,Mitch,TL,6,V70 (Mitch),
62,V85,85,32,7,1,85,1,Sunbee,TL,6,V85 (Sunbee),
63,V10,10,33,7,1,10,1,Banks,TL,6,V10 (Banks),
64,V29,29,34,7,2,29,1,CSIROW011,TL,6,V29 (CSIROW011),
65,V39,39,35,7,2,39,1,CSIROW105,TL,6,V39 (CSIROW105),
66,V80,80,36,7,1,80,2,Scout,TL,6,V80 (Scout),
67,V78,78,37,7,1,78,2,Schooner,TL,6,V78 (Schooner),
68,V88,88,38,7,1,88,2,Sunstate,TL,6,V88 (Sunstate),
69,V41,41,39,7,2,41,2,Dash,TL,6,V41 (Dash),
70,V32,32,40,7,2,32,2,CSIROW023,TL,6,V32 (CSIROW023),
71,V31,31,31,8,2,31,1,CSIROW021,TL,6,V31 (CSIROW021),
72,V83,83,32,8,1,83,1,Stirling,TL,6,V83 (Stirling),
73,V59,59,33,8,1,59,1,Grout,TL,6,V59 (Grout),
74,V25,25,34,8,2,25,1,CSIROW002,TL,6,V25 (CSIROW002),
75,V92,92,35,8,1,92,1,Westminster,TL,6,V92 (Westminster),
76,V28,28,36,8,2,28,2,CSIROW007,TL,6,V28 (CSIROW007),
77,V51,51,37,8,1,51,2,Fleet,TL,6,V51 (Fleet),
78,V55,55,38,8,1,55,2,Gairdner,TL,6,V55 (Gairdner),
79,V4,4,39,8,1,4,2,Spartacus CL,Control,6,V4 (Spartacus CL),
80,V18,18,40,8,1,18,2,Cassiopee,TL,6,V18 (Cassiopee),
81,V64,64,31,9,1,64,1,Kittyhawk,TL,6,V64 (Kittyhawk),
82,V27,27,32,9,2,27,1,CSIROW005,TL,6,V27 (CSIROW005),
83,V5,5,33,9,1,5,1,Manning,Control,6,V5 (Manning),
84,V9,9,34,9,1,9,1,Axe,TL,6,V9 (Axe),
85,V71,71,35,9,1,71,1,Navigator,TL,6,V71 (Navigator),
86,V13,13,36,9,1,13,2,Biere,TL,6,V13 (Biere),
87,V23,23,37,9,2,23,2,CSIROB1,TL,6,V23 (CSIROB1),
88,V2,2,38,9,2,2,2,Beaufort,Control,6,V2 (Beaufort),
89,V84,84,39,9,1,84,2,Strzelecki,TL,6,V84 (Strzelecki),
90,V37,37,40,9,2,37,2,CSIROW087,TL,6,V37 (CSIROW087),
91,V3,3,31,10,1,3,1,Lancer,Control,6,V3 (Lancer),
92,V30,30,32,10,2,30,1,CSIROW018,TL,6,V30 (CSIROW018),
93,V17,17,33,10,1,17,1,Capstan,TL,6,V17 (Capstan),
94,V32,32,34,10,2,32,1,CSIROW023,TL,6,V32 (CSIROW023),
95,V52,52,35,10,1,52,1,Flinders,TL,6,V52 (Flinders),
96,V33,33,36,10,2,33,2,CSIROW027,TL,6,V33 (CSIROW027),
97,V87,87,37,10,1,87,2,Sunlamb,TL,6,V87 (Sunlamb),
98,V53,53,38,10,1,53,2,Forrest,TL,6,V53 (Forrest),
99,V15,15,39,10,1,15,2,Braewood,TL,6,V15 (Braewood),
100,V40,40,40,10,2,40,2,Cutlass,TL,6,V40 (Cutlass),
101,V57,57,31,11,1,57,1,Granger,TL,6,V57 (Granger),
102,V8,8,32,11,1,8,1,Alestar,TL,6,V8 (Alestar),
103,V23,23,33,11,2,23,1,CSIROB1,TL,6,V23 (CSIROB1),
104,V69,69,34,11,1,69,1,Merinda,TL,6,V69 (Merinda),
105,V38,38,35,11,2,38,1,CSIROW102,TL,6,V38 (CSIROW102),
106,V6,6,36,11,1,6,2,Scepter,Control,6,V6 (Scepter),
107,V12,12,37,11,1,12,2,Baudin,TL,6,V12 (Baudin),
108,V34,34,38,11,2,34,2,CSIROW029,TL,6,V34 (CSIROW029),
109,V95,95,39,11,1,95,2,Yitpi,TL,6,V95 (Yitpi),
110,V77,77,40,11,1,77,2,Rosella,TL,6,V77 (Rosella),
111,V72,72,31,12,1,72,1,Ouyen,TL,6,V72 (Ouyen),
112,V35,35,32,12,2,35,1,CSIROW073,TL,6,V35 (CSIROW073),
113,V86,86,33,12,1,86,1,Sunbri,TL,6,V86 (Sunbri),
114,V43,43,34,12,1,43,1,EGA_Eaglehawk,TL,6,V43 (EGA_Eaglehawk),
115,V22,22,35,12,2,22,1,Crusader,TL,6,V22 (Crusader),
116,V11,11,36,12,1,11,2,Bass,TL,6,V11 (Bass),
117,V27,27,37,12,2,27,2,CSIROW005,TL,6,V27 (CSIROW005),
118,V14,14,38,12,1,14,2,Bolac,TL,6,V14 (Bolac),
119,V39,39,39,12,2,39,2,CSIROW105,TL,6,V39 (CSIROW105),
120,V89,89,40,12,1,89,2,Suntop,TL,6,V89 (Suntop),
1,V75,75,41,1,1,75,1,Revenue,TL,1,V75 (Revenue),
2,V92,92,42,1,1,92,1,Westminster,TL,1,V92 (Westminster),
3,V49,49,43,1,1,49,1,Emu_Rock,TL,1,V49 (Emu_Rock),
4,V16,16,44,1,2,16,1,Calingiri,TL,1,V16 (Calingiri),
5,V8,8,45,1,2,8,1,Alestar,TL,1,V8 (Alestar),
6,V18,18,46,1,2,18,2,Cassiopee,TL,1,V18 (Cassiopee),
7,V95,95,47,1,1,95,2,Yitpi,TL,1,V95 (Yitpi),
8,V88,88,48,1,1,88,2,Sunstate,TL,1,V88 (Sunstate),
9,V17,17,49,1,2,17,2,Capstan,TL,1,V17 (Capstan),
10,V34,34,50,1,1,34,2,CSIROW029,TL,1,V34 (CSIROW029),
11,V21,21,41,2,2,21,1,Compass,TL,1,V21 (Compass),subset\u0007
12,V35,35,42,2,1,35,1,CSIROW073,TL,1,V35 (CSIROW073),
13,V9,9,43,2,2,9,1,Axe,TL,1,V9 (Axe),subset\u0007
14,V30,30,44,2,1,30,1,CSIROW018,TL,1,V30 (CSIROW018),
15,V73,73,45,2,1,73,1,Oxford,TL,1,V73 (Oxford),
16,V20,20,46,2,2,20,2,Commander,TL,1,V20 (Commander),subset\u0007
17,V76,76,47,2,1,76,2,Rosalind,TL,1,V76 (Rosalind),
18,V3,3,48,2,1,3,2,Lancer,Control,1,V3 (Lancer),subset\u0007
19,V61,61,49,2,1,61,2,Janz,TL,1,V61 (Janz),
20,V74,74,50,2,1,74,2,Peake,TL,1,V74 (Peake),
21,V56,56,41,3,1,56,1,Gauntlet,TL,1,V56 (Gauntlet),
22,V15,15,42,3,2,15,1,Braewood,TL,1,V15 (Braewood),
23,V77,77,43,3,1,77,1,Rosella,TL,1,V77 (Rosella),
24,V79,79,44,3,1,79,1,Scope,TL,1,V79 (Scope),
25,V14,14,45,3,2,14,1,Bolac,TL,1,V14 (Bolac),
26,V32,32,46,3,1,32,2,CSIROW023,TL,1,V32 (CSIROW023),
27,V7,7,47,3,2,7,2,AGT_Scythe,TL,1,V7 (AGT_Scythe),
28,V53,53,48,3,1,53,2,Forrest,TL,1,V53 (Forrest),
29,V94,94,49,3,1,94,2,Wyalkatchem,TL,1,V94 (Wyalkatchem),
30,V10,10,50,3,2,10,2,Banks,TL,1,V10 (Banks),
31,V25,25,41,4,2,25,1,CSIROW002,TL,1,V25 (CSIROW002),
32,V4,4,42,4,1,4,1,Spartacus CL,Control,1,V4 (Spartacus CL),subset\u0007
33,V55,55,43,4,1,55,1,Gairdner,TL,1,V55 (Gairdner),
34,V26,26,44,4,2,26,1,CSIROW003,TL,1,V26 (CSIROW003),
35,V67,67,45,4,1,67,1,Mace,TL,1,V67 (Mace),subset\u0007
36,V1,1,46,4,2,1,2,RGT Planet,Control,1,V1 (RGT Planet),subset\u0007
37,V13,13,47,4,2,13,2,Biere,TL,1,V13 (Biere),
38,V68,68,48,4,1,68,2,Magenta,TL,1,V68 (Magenta),
39,V6,6,49,4,1,6,2,Scepter,Control,1,V6 (Scepter),subset\u0007
40,V91,91,50,4,1,91,2,Urambie,TL,1,V91 (Urambie),subset\u0007
41,V47,47,41,5,1,47,1,EGA_Wills,TL,1,V47 (EGA_Wills),
42,V27,27,42,5,2,27,1,CSIROW005,TL,1,V27 (CSIROW005),
43,V81,81,43,5,1,81,1,Shepherd,TL,1,V81 (Shepherd),
44,V3,3,44,5,1,3,1,Lancer,Control,1,V3 (Lancer),subset\u0007
45,V63,63,45,5,1,63,1,Kellalac,TL,1,V63 (Kellalac),
46,V45,45,46,5,1,45,2,EGA_Hume,TL,1,V45 (EGA_Hume),
47,V69,69,47,5,1,69,2,Merinda,TL,1,V69 (Merinda),
48,V23,23,48,5,2,23,2,CSIROB1,TL,1,V23 (CSIROB1),
49,V16,16,49,5,2,16,2,Calingiri,TL,1,V16 (Calingiri),
50,V40,40,50,5,1,40,2,Cutlass,TL,1,V40 (Cutlass),subset\u0007
51,V65,65,41,6,1,65,1,Lockyer,TL,1,V65 (Lockyer),
52,V89,89,42,6,1,89,1,Suntop,TL,1,V89 (Suntop),subset\u0007
53,V10,10,43,6,2,10,1,Banks,TL,1,V10 (Banks),
54,V46,46,44,6,1,46,1,EGA_Wedgetail,TL,1,V46 (EGA_Wedgetail),
55,V19,19,45,6,2,19,1,Catalina,TL,1,V19 (Catalina),
56,V86,86,46,6,1,86,2,Sunbri,TL,1,V86 (Sunbri),
57,V39,39,47,6,1,39,2,CSIROW105,TL,1,V39 (CSIROW105),
58,V9,9,48,6,2,9,2,Axe,TL,1,V9 (Axe),subset\u0007
59,V66,66,49,6,1,66,2,Longsword,TL,1,V66 (Longsword),
60,V11,11,50,6,2,11,2,Bass,TL,1,V11 (Bass),
61,V24,24,41,7,2,24,1,CSIROB3,TL,1,V24 (CSIROB3),
62,V7,7,42,7,2,7,1,AGT_Scythe,TL,1,V7 (AGT_Scythe),
63,V78,78,43,7,1,78,1,Schooner,TL,1,V78 (Schooner),
64,V54,54,44,7,1,54,1,Franklin,TL,1,V54 (Franklin),
65,V50,50,45,7,1,50,1,Fathom,TL,1,V50 (Fathom),subset\u0007
66,V70,70,46,7,1,70,2,Mitch,TL,1,V70 (Mitch),
67,V25,25,47,7,2,25,2,CSIROW002,TL,1,V25 (CSIROW002),
68,V48,48,48,7,1,48,2,Ellison,TL,1,V48 (Ellison),
69,V27,27,49,7,2,27,2,CSIROW005,TL,1,V27 (CSIROW005),
70,V64,64,50,7,1,64,2,Kittyhawk,TL,1,V64 (Kittyhawk),subset\u0007
71,V1,1,41,8,2,1,1,RGT Planet,Control,1,V1 (RGT Planet),subset\u0007
72,V33,33,42,8,1,33,1,CSIROW027,TL,1,V33 (CSIROW027),
73,V29,29,43,8,1,29,1,CSIROW011,TL,1,V29 (CSIROW011),
74,V44,44,44,8,1,44,1,EGA_Gregory,TL,1,V44 (EGA_Gregory),subset\u0007
75,V11,11,45,8,2,11,1,Bass,TL,1,V11 (Bass),
76,V8,8,46,8,2,8,2,Alestar,TL,1,V8 (Alestar),
77,V52,52,47,8,1,52,2,Flinders,TL,1,V52 (Flinders),
78,V43,43,48,8,1,43,2,EGA_Eaglehawk,TL,1,V43 (EGA_Eaglehawk),
79,V96,96,49,8,1,96,2,Young,TL,1,V96 (Young),
80,V22,22,50,8,2,22,2,Crusader,TL,1,V22 (Crusader),
81,V28,28,41,9,1,28,1,CSIROW007,TL,1,V28 (CSIROW007),
82,V84,84,42,9,1,84,1,Strzelecki,TL,1,V84 (Strzelecki),
83,V12,12,43,9,2,12,1,Baudin,TL,1,V12 (Baudin),
84,V18,18,44,9,2,18,1,Cassiopee,TL,1,V18 (Cassiopee),
85,V5,5,45,9,1,5,1,Manning,Control,1,V5 (Manning),subset\u0007
86,V82,82,46,9,1,82,2,Spitfire,TL,1,V82 (Spitfire),
87,V90,90,47,9,1,90,2,Trojan,TL,1,V90 (Trojan),subset\u0007
88,V31,31,48,9,1,31,2,CSIROW021,TL,1,V31 (CSIROW021),
89,V2,2,49,9,2,2,2,Beaufort,Control,1,V2 (Beaufort),subset\u0007
90,V15,15,50,9,2,15,2,Braewood,TL,1,V15 (Braewood),
91,V42,42,41,10,1,42,1,Derrimut,TL,1,V42 (Derrimut),
92,V23,23,42,10,2,23,1,CSIROB1,TL,1,V23 (CSIROB1),
93,V71,71,43,10,1,71,1,Navigator,TL,1,V71 (Navigator),
94,V2,2,44,10,2,2,1,Beaufort,Control,1,V2 (Beaufort),subset\u0007
95,V58,58,45,10,1,58,1,Grenade CL Plus,TL,1,V58 (Grenade CL Plus),
96,V26,26,46,10,2,26,2,CSIROW003,TL,1,V26 (CSIROW003),
97,V59,59,47,10,1,59,2,Grout,TL,1,V59 (Grout),
98,V19,19,48,10,2,19,2,Catalina,TL,1,V19 (Catalina),
99,V83,83,49,10,1,83,2,Stirling,TL,1,V83 (Stirling),
100,V62,62,50,10,1,62,2,Keel,TL,1,V62 (Keel),
101,V22,22,41,11,2,22,1,Crusader,TL,1,V22 (Crusader),
102,V51,51,42,11,1,51,1,Fleet,TL,1,V51 (Fleet),
103,V20,20,43,11,2,20,1,Commander,TL,1,V20 (Commander),subset\u0007
104,V72,72,44,11,1,72,1,Ouyen,TL,1,V72 (Ouyen),
105,V60,60,45,11,1,60,1,H45,TL,1,V60 (H45),
106,V24,24,46,11,2,24,2,CSIROB3,TL,1,V24 (CSIROB3),
107,V41,41,47,11,1,41,2,Dash,TL,1,V41 (Dash),
108,V87,87,48,11,1,87,2,Sunlamb,TL,1,V87 (Sunlamb),
109,V12,12,49,11,2,12,2,Baudin,TL,1,V12 (Baudin),
110,V93,93,50,11,1,93,2,Whistler,TL,1,V93 (Whistler),
111,V85,85,41,12,1,85,1,Sunbee,TL,1,V85 (Sunbee),
112,V37,37,42,12,1,37,1,CSIROW087,TL,1,V37 (CSIROW087),
113,V57,57,43,12,1,57,1,Granger,TL,1,V57 (Granger),
114,V13,13,44,12,2,13,1,Biere,TL,1,V13 (Biere),
115,V17,17,45,12,2,17,1,Capstan,TL,1,V17 (Capstan),
116,V80,80,46,12,1,80,2,Scout,TL,1,V80 (Scout),
117,V14,14,47,12,2,14,2,Bolac,TL,1,V14 (Bolac),
118,V38,38,48,12,1,38,2,CSIROW102,TL,1,V38 (CSIROW102),
119,V21,21,49,12,2,21,2,Compass,TL,1,V21 (Compass),subset\u0007
120,V36,36,50,12,1,36,2,CSIROW077,TL,1,V36 (CSIROW077),
1,V55,55,51,1,2,55,1,Gairdner,TL,3,V55 (Gairdner),
2,V17,17,52,1,1,17,1,Capstan,TL,3,V17 (Capstan),
3,V71,71,53,1,1,71,1,Navigator,TL,3,V71 (Navigator),
4,V95,95,54,1,1,95,1,Yitpi,TL,3,V95 (Yitpi),
5,V62,62,55,1,2,62,1,Keel,TL,3,V62 (Keel),
6,V15,15,56,1,1,15,2,Braewood,TL,3,V15 (Braewood),
7,V46,46,57,1,1,46,2,EGA_Wedgetail,TL,3,V46 (EGA_Wedgetail),
8,V65,65,58,1,2,65,2,Lockyer,TL,3,V65 (Lockyer),
9,V54,54,59,1,2,54,2,Franklin,TL,3,V54 (Franklin),
10,V14,14,60,1,1,14,2,Bolac,TL,3,V14 (Bolac),
11,V89,89,51,2,1,89,1,Suntop,TL,3,V89 (Suntop),
12,V3,3,52,2,1,3,1,Lancer,Control,3,V3 (Lancer),
13,V60,60,53,2,2,60,1,H45,TL,3,V60 (H45),
14,V13,13,54,2,1,13,1,Biere,TL,3,V13 (Biere),
15,V84,84,55,2,1,84,1,Strzelecki,TL,3,V84 (Strzelecki),
16,V40,40,56,2,1,40,2,Cutlass,TL,3,V40 (Cutlass),
17,V53,53,57,2,2,53,2,Forrest,TL,3,V53 (Forrest),
18,V85,85,58,2,1,85,2,Sunbee,TL,3,V85 (Sunbee),
19,V50,50,59,2,2,50,2,Fathom,TL,3,V50 (Fathom),
20,V25,25,60,2,1,25,2,CSIROW002,TL,3,V25 (CSIROW002),
21,V38,38,51,3,1,38,1,CSIROW102,TL,3,V38 (CSIROW102),
22,V76,76,52,3,1,76,1,Rosalind,TL,3,V76 (Rosalind),
23,V63,63,53,3,2,63,1,Kellalac,TL,3,V63 (Kellalac),
24,V66,66,54,3,2,66,1,Longsword,TL,3,V66 (Longsword),
25,V23,23,55,3,1,23,1,CSIROB1,TL,3,V23 (CSIROB1),
26,V2,2,56,3,2,2,2,Beaufort,Control,3,V2 (Beaufort),
27,V6,6,57,3,1,6,2,Scepter,Control,3,V6 (Scepter),
28,V88,88,58,3,1,88,2,Sunstate,TL,3,V88 (Sunstate),
29,V31,31,59,3,1,31,2,CSIROW021,TL,3,V31 (CSIROW021),
30,V68,68,60,3,2,68,2,Magenta,TL,3,V68 (Magenta),
31,V73,73,51,4,1,73,1,Oxford,TL,3,V73 (Oxford),
32,V4,4,52,4,1,4,1,Spartacus CL,Control,3,V4 (Spartacus CL),
33,V74,74,53,4,1,74,1,Peake,TL,3,V74 (Peake),
34,V52,52,54,4,2,52,1,Flinders,TL,3,V52 (Flinders),
35,V61,61,55,4,2,61,1,Janz,TL,3,V61 (Janz),
36,V56,56,56,4,2,56,2,Gauntlet,TL,3,V56 (Gauntlet),
37,V41,41,57,4,1,41,2,Dash,TL,3,V41 (Dash),
38,V32,32,58,4,1,32,2,CSIROW023,TL,3,V32 (CSIROW023),
39,V49,49,59,4,2,49,2,Emu_Rock,TL,3,V49 (Emu_Rock),
40,V86,86,60,4,1,86,2,Sunbri,TL,3,V86 (Sunbri),
41,V69,69,51,5,2,69,1,Merinda,TL,3,V69 (Merinda),
42,V29,29,52,5,1,29,1,CSIROW011,TL,3,V29 (CSIROW011),
43,V72,72,53,5,1,72,1,Ouyen,TL,3,V72 (Ouyen),
44,V2,2,54,5,2,2,1,Beaufort,Control,3,V2 (Beaufort),
45,V34,34,55,5,1,34,1,CSIROW029,TL,3,V34 (CSIROW029),
46,V59,59,56,5,2,59,2,Grout,TL,3,V59 (Grout),
47,V24,24,57,5,1,24,2,CSIROB3,TL,3,V24 (CSIROB3),
48,V55,55,58,5,2,55,2,Gairdner,TL,3,V55 (Gairdner),
49,V70,70,59,5,1,70,2,Mitch,TL,3,V70 (Mitch),
50,V77,77,60,5,1,77,2,Rosella,TL,3,V77 (Rosella),
51,V94,94,51,6,1,94,1,Wyalkatchem,TL,3,V94 (Wyalkatchem),
52,V81,81,52,6,1,81,1,Shepherd,TL,3,V81 (Shepherd),
53,V64,64,53,6,2,64,1,Kittyhawk,TL,3,V64 (Kittyhawk),
54,V90,90,54,6,1,90,1,Trojan,TL,3,V90 (Trojan),
55,V54,54,55,6,2,54,1,Franklin,TL,3,V54 (Franklin),
56,V28,28,56,6,1,28,2,CSIROW007,TL,3,V28 (CSIROW007),
57,V60,60,57,6,2,60,2,H45,TL,3,V60 (H45),
58,V87,87,58,6,1,87,2,Sunlamb,TL,3,V87 (Sunlamb),
59,V51,51,59,6,2,51,2,Fleet,TL,3,V51 (Fleet),
60,V12,12,60,6,1,12,2,Baudin,TL,3,V12 (Baudin),
61,V47,47,51,7,1,47,1,EGA_Wills,TL,3,V47 (EGA_Wills),
62,V20,20,52,7,1,20,1,Commander,TL,3,V20 (Commander),
63,V1,1,53,7,2,1,1,RGT Planet,Control,3,V1 (RGT Planet),
64,V49,49,54,7,2,49,1,Emu_Rock,TL,3,V49 (Emu_Rock),
65,V75,75,55,7,1,75,1,Revenue,TL,3,V75 (Revenue),
66,V39,39,56,7,1,39,2,CSIROW105,TL,3,V39 (CSIROW105),
67,V43,43,57,7,1,43,2,EGA_Eaglehawk,TL,3,V43 (EGA_Eaglehawk),
68,V7,7,58,7,1,7,2,AGT_Scythe,TL,3,V7 (AGT_Scythe),
69,V64,64,59,7,2,64,2,Kittyhawk,TL,3,V64 (Kittyhawk),
70,V66,66,60,7,2,66,2,Longsword,TL,3,V66 (Longsword),
71,V68,68,51,8,2,68,1,Magenta,TL,3,V68 (Magenta),
72,V53,53,52,8,2,53,1,Forrest,TL,3,V53 (Forrest),
73,V35,35,53,8,1,35,1,CSIROW073,TL,3,V35 (CSIROW073),
74,V82,82,54,8,1,82,1,Spitfire,TL,3,V82 (Spitfire),
75,V36,36,55,8,1,36,1,CSIROW077,TL,3,V36 (CSIROW077),
76,V8,8,56,8,1,8,2,Alestar,TL,3,V8 (Alestar),
77,V57,57,57,8,2,57,2,Granger,TL,3,V57 (Granger),
78,V18,18,58,8,1,18,2,Cassiopee,TL,3,V18 (Cassiopee),
79,V80,80,59,8,1,80,2,Scout,TL,3,V80 (Scout),
80,V58,58,60,8,2,58,2,Grenade CL Plus,TL,3,V58 (Grenade CL Plus),
81,V30,30,51,9,1,30,1,CSIROW018,TL,3,V30 (CSIROW018),
82,V67,67,52,9,2,67,1,Mace,TL,3,V67 (Mace),
83,V91,91,53,9,1,91,1,Urambie,TL,3,V91 (Urambie),
84,V59,59,54,9,2,59,1,Grout,TL,3,V59 (Grout),
85,V92,92,55,9,1,92,1,Westminster,TL,3,V92 (Westminster),
86,V3,3,56,9,1,3,2,Lancer,Control,3,V3 (Lancer),
87,V96,96,57,9,1,96,2,Young,TL,3,V96 (Young),
88,V52,52,58,9,2,52,2,Flinders,TL,3,V52 (Flinders),
89,V45,45,59,9,1,45,2,EGA_Hume,TL,3,V45 (EGA_Hume),
90,V79,79,60,9,1,79,2,Scope,TL,3,V79 (Scope),
91,V26,26,51,10,1,26,1,CSIROW003,TL,3,V26 (CSIROW003),
92,V58,58,52,10,2,58,1,Grenade CL Plus,TL,3,V58 (Grenade CL Plus),
93,V65,65,53,10,2,65,1,Lockyer,TL,3,V65 (Lockyer),
94,V16,16,54,10,1,16,1,Calingiri,TL,3,V16 (Calingiri),
95,V48,48,55,10,1,48,1,Ellison,TL,3,V48 (Ellison),
96,V27,27,56,10,1,27,2,CSIROW005,TL,3,V27 (CSIROW005),
97,V9,9,57,10,1,9,2,Axe,TL,3,V9 (Axe),
98,V67,67,58,10,2,67,2,Mace,TL,3,V67 (Mace),
99,V22,22,59,10,1,22,2,Crusader,TL,3,V22 (Crusader),
100,V1,1,60,10,2,1,2,RGT Planet,Control,3,V1 (RGT Planet),
101,V57,57,51,11,2,57,1,Granger,TL,3,V57 (Granger),
102,V10,10,52,11,1,10,1,Banks,TL,3,V10 (Banks),
103,V42,42,53,11,1,42,1,Derrimut,TL,3,V42 (Derrimut),
